time_sec,source,valid,manual_enabled,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,left_ik_loss,right_ik_loss,left_workspace_projected,right_workspace_projected,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778075175.306098,ik_wrist_pelvis_body_frame,0,0,-0.300000,0.100000,-0.128795,-0.300000,-0.100000,-0.446282,-0.217776,0.128808,-0.169635,-0.130372,-0.100000,-0.296557,0.098818,0.041710,1,1,0.000000,0.000000,0.000000,0.209000,-0.099486,-0.016532,0.188171,-0.209000,-0.214213,0.008994,0.167000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075175.375741,ik_wrist_pelvis_body_frame,0,0,-0.300000,0.100000,0.040966,-0.260085,-0.100000,-0.148346,-0.240726,0.130794,-0.065054,-0.089391,-0.100000,-0.190196,0.083054,0.091006,1,1,0.000000,0.000000,0.000000,0.372020,-0.110893,-0.053327,0.268436,-0.372020,-0.324929,0.027277,0.206562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075175.413740,ik_wrist_pelvis_body_frame,0,0,-0.300000,0.100000,0.155048,-0.286597,-0.100000,0.110698,-0.260362,0.112183,-0.017475,-0.140997,-0.100000,-0.090742,0.039099,0.063119,1,1,0.000000,0.000000,0.000000,0.499176,-0.085737,-0.110420,0.429817,-0.499176,-0.296363,0.071469,0.387001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.168438,ik_wrist_pelvis_body_frame,1,0,-0.243648,0.100000,-0.517168,-0.224888,-0.222472,-0.481482,-0.111870,0.100000,-0.278406,-0.048631,-0.146346,-0.292154,0.034775,0.023742,1,0,0.000000,0.000000,0.000000,0.598357,-0.319875,-0.191935,0.430626,-0.548713,-0.484163,0.102438,0.417966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.341445,ik_wrist_pelvis_body_frame,1,0,-0.226724,0.110493,-0.522291,-0.173444,-0.195384,-0.517111,-0.090525,0.118311,-0.292340,-0.029659,-0.143798,-0.306174,0.005429,0.006153,1,0,0.000000,0.000000,0.000000,0.675718,-0.502502,-0.256656,0.385743,-0.572414,-0.630647,0.125360,0.381986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.370048,ik_wrist_pelvis_body_frame,1,0,-0.235454,0.141485,-0.510826,-0.164506,-0.198072,-0.515762,-0.095495,0.134140,-0.287042,-0.018793,-0.143208,-0.309740,0.003211,0.004014,1,0,0.000000,0.000000,0.000000,0.729513,-0.644952,-0.301389,0.343257,-0.583903,-0.744905,0.141864,0.331421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.403713,ik_wrist_pelvis_body_frame,1,0,-0.253018,0.142977,-0.501936,-0.165785,-0.210290,-0.510754,-0.095506,0.129593,-0.280462,-0.017173,-0.143047,-0.305952,0.002766,0.003281,1,0,0.000000,0.000000,0.000000,0.774065,-0.752918,-0.331909,0.313721,-0.588001,-0.834026,0.152941,0.289708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.432494,ik_wrist_pelvis_body_frame,1,0,-0.276286,0.128990,-0.493384,-0.164157,-0.200234,-0.511936,-0.101580,0.116692,-0.274198,-0.013803,-0.141422,-0.313388,0.002707,0.003957,1,0,0.000000,0.000000,0.000000,0.812771,-0.835681,-0.354712,0.299748,-0.591921,-0.903540,0.160628,0.252589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.470415,ik_wrist_pelvis_body_frame,1,0,-0.283990,0.114156,-0.492664,-0.190797,-0.156358,-0.510157,-0.103559,0.118447,-0.269346,-0.022693,-0.128361,-0.315010,0.003586,0.005796,1,0,0.000000,0.000000,0.000000,0.842961,-0.903843,-0.375067,0.298379,-0.620552,-0.957761,0.168206,0.218034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.503103,ik_wrist_pelvis_body_frame,1,0,-0.280976,0.100000,-0.497452,-0.213895,-0.154401,-0.501889,-0.102814,0.103181,-0.280893,-0.038293,-0.129128,-0.313584,0.003991,0.004942,1,0,0.000000,0.000000,0.000000,0.866510,-0.957998,-0.396496,0.300699,-0.662526,-1.000054,0.174954,0.198822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.533660,ik_wrist_pelvis_body_frame,1,0,-0.296006,0.100000,-0.488682,-0.234090,-0.158228,-0.497222,-0.105638,0.100000,-0.280965,-0.054297,-0.119180,-0.314585,0.003873,0.003538,1,0,0.000000,0.000000,0.000000,0.884878,-1.000238,-0.419312,0.312949,-0.708541,-1.032950,0.180719,0.194421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.565688,ik_wrist_pelvis_body_frame,1,0,-0.281753,0.100000,-0.497177,-0.219783,-0.163788,-0.504709,-0.104290,0.100000,-0.289144,-0.050414,-0.117954,-0.322351,0.003814,0.003388,1,0,0.000000,0.000000,0.000000,0.899205,-1.033186,-0.442176,0.318349,-0.742229,-1.058701,0.183731,0.189435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.601983,ik_wrist_pelvis_body_frame,1,0,-0.294722,0.100000,-0.489623,-0.227105,-0.156806,-0.503208,-0.106381,0.100000,-0.279287,-0.053149,-0.107558,-0.323738,0.003625,0.003253,1,0,0.000000,0.000000,0.000000,0.910380,-1.058885,-0.464575,0.329004,-0.773588,-1.078787,0.185659,0.186603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.635970,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.100735,-0.484985,-0.238438,-0.165218,-0.493265,-0.101931,0.100000,-0.275016,-0.057139,-0.109086,-0.320535,0.003429,0.002997,1,0,0.000000,0.000000,0.000000,0.919096,-1.078930,-0.486192,0.343357,-0.799567,-1.094453,0.186117,0.192905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.666906,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.135345,-0.476827,-0.250654,-0.164004,-0.489308,-0.101396,0.102232,-0.269715,-0.067921,-0.109726,-0.320012,0.001968,0.002660,1,0,0.000000,0.000000,0.000000,0.925895,-1.092780,-0.497020,0.356087,-0.824240,-1.106674,0.186237,0.205879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.701929,ik_wrist_pelvis_body_frame,1,0,-0.277187,0.167224,-0.481252,-0.239141,-0.179572,-0.492136,-0.091138,0.111033,-0.276409,-0.067193,-0.109637,-0.327660,0.001889,0.002613,1,0,0.000000,0.000000,0.000000,0.915511,-1.103922,-0.495137,0.359908,-0.835443,-1.116205,0.183480,0.217456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.733156,ik_wrist_pelvis_body_frame,1,0,-0.277661,0.180376,-0.476203,-0.238129,-0.191650,-0.490167,-0.088381,0.117415,-0.272703,-0.070049,-0.111786,-0.326627,0.001684,0.002311,1,0,0.000000,0.000000,0.000000,0.900136,-1.109666,-0.486475,0.362313,-0.837167,-1.123640,0.178654,0.230196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.773456,ik_wrist_pelvis_body_frame,1,0,-0.281393,0.197465,-0.467146,-0.239883,-0.190631,-0.490501,-0.092193,0.130778,-0.267233,-0.071730,-0.115138,-0.325412,0.001756,0.002271,1,0,0.000000,0.000000,0.000000,0.882211,-1.108454,-0.473546,0.364556,-0.837408,-1.129439,0.173913,0.241926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.800975,ik_wrist_pelvis_body_frame,1,0,-0.288769,0.194101,-0.464044,-0.242699,-0.187051,-0.491623,-0.097725,0.139150,-0.264678,-0.074691,-0.115503,-0.324547,0.002030,0.002229,1,0,0.000000,0.000000,0.000000,0.871050,-1.105459,-0.460552,0.366930,-0.839635,-1.133963,0.170119,0.251476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.842190,ik_wrist_pelvis_body_frame,1,0,-0.276168,0.220362,-0.459969,-0.242423,-0.206056,-0.484945,-0.096118,0.155462,-0.263193,-0.073901,-0.129850,-0.311631,0.002277,0.002007,1,1,0.000000,0.000000,0.000000,0.850623,-1.098738,-0.444116,0.365235,-0.834106,-1.135125,0.164977,0.262174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.866406,ik_wrist_pelvis_body_frame,1,0,-0.276192,0.244312,-0.447694,-0.218482,-0.205632,-0.496368,-0.093132,0.160618,-0.257427,-0.069336,-0.130605,-0.312718,0.001956,0.002022,1,1,0.000000,0.000000,0.000000,0.825579,-1.086410,-0.425870,0.363255,-0.820670,-1.138397,0.158612,0.263814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.902767,ik_wrist_pelvis_body_frame,1,0,-0.298645,0.216095,-0.438870,-0.217605,-0.188536,-0.501216,-0.077176,0.148511,-0.251673,-0.051572,-0.116579,-0.317480,0.002537,0.002468,0,0,0.000000,0.000000,0.000000,0.820044,-1.078427,-0.413068,0.367784,-0.813514,-1.140950,0.154464,0.257123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.938629,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.231001,-0.409342,-0.233211,-0.154982,-0.498919,-0.085415,0.148788,-0.236144,-0.046253,-0.100000,-0.309557,0.002720,0.003214,1,1,0.000000,0.000000,0.000000,0.813504,-1.065000,-0.399929,0.378609,-0.827115,-1.142941,0.155010,0.247197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075183.968536,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.238972,-0.398124,-0.208883,-0.152891,-0.515103,-0.100992,0.161722,-0.227363,-0.038856,-0.100419,-0.311575,0.003103,0.003238,1,0,0.000000,0.000000,0.000000,0.805766,-1.050265,-0.386999,0.390408,-0.837569,-1.144494,0.155001,0.223544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.001704,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.278353,-0.387701,-0.203572,-0.150701,-0.518067,-0.102827,0.174626,-0.224019,-0.038118,-0.108235,-0.311443,0.002293,0.003290,1,0,0.000000,0.000000,0.000000,0.787080,-1.029774,-0.371476,0.400657,-0.844972,-1.145705,0.154031,0.196172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.033481,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.304935,-0.379119,-0.198822,-0.153301,-0.519258,-0.093579,0.187273,-0.224986,-0.036223,-0.113447,-0.309524,0.002025,0.003295,1,0,0.000000,0.000000,0.000000,0.762986,-1.007280,-0.355599,0.409046,-0.847918,-1.146650,0.151916,0.170215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.065680,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.317277,-0.361121,-0.198070,-0.158881,-0.513945,-0.085303,0.192102,-0.217601,-0.028169,-0.116963,-0.302413,0.002255,0.003627,1,0,0.000000,0.000000,0.000000,0.739448,-0.983881,-0.341273,0.418426,-0.846122,-1.147387,0.148877,0.150852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
