time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778447979.953203,sequential_ik_elbow_then_wrist,0,0,-0.091487,0.211358,-0.192245,-0.339703,0.280786,-0.345765,-0.191927,-0.193019,-0.126125,-0.119308,-0.120761,0.155842,0.007063,0.072218,0.058987,0.267728,0.008794,0.070673,0.066735,0.229386,0.000000,0.000000,0.000000,0.064151,-0.128555,-0.753600,0.255744,-0.134965,-0.082372,0.000000,0.522488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.058456,sequential_ik_elbow_then_wrist,0,0,-0.106907,0.211694,-0.183730,-0.341594,0.282846,-0.356528,-0.115857,-0.170016,-0.218338,-0.147076,-0.050502,0.055051,0.000636,0.047760,0.019585,0.218138,0.002406,0.024634,0.032989,0.134210,0.000000,0.000000,0.000000,0.143003,-0.249619,-1.326336,0.266324,-0.242519,-0.231952,0.000000,0.962873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.110347,sequential_ik_elbow_then_wrist,0,0,-0.107027,0.208984,-0.186738,-0.339748,0.276107,-0.363755,-0.005149,-0.264995,-0.140539,0.172373,-0.129782,0.059969,0.000095,0.039567,0.007835,0.198748,0.004560,0.041008,0.054547,0.200132,0.000000,0.000000,0.000000,0.214728,-0.348919,-1.761615,0.254852,-0.235690,-0.309801,0.000000,1.371729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.146728,sequential_ik_elbow_then_wrist,0,0,-0.131019,0.202016,-0.178951,-0.380928,0.263567,-0.333084,-0.121648,-0.248315,-0.116368,-0.044176,-0.106250,0.136250,0.000225,0.043548,0.012383,0.208391,0.000949,0.000196,0.022731,0.010299,0.000000,0.000000,0.000000,0.289066,-0.420161,-2.092428,0.219728,-0.271332,-0.340327,0.000000,1.659646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.181598,sequential_ik_elbow_then_wrist,1,0,-0.114201,0.198462,-0.193832,-0.344888,0.264934,-0.373734,-0.157586,-0.234768,-0.100252,-0.105262,-0.097317,0.161223,0.000034,0.030188,0.003900,0.173740,0.000583,0.001921,0.017419,0.042316,0.000000,0.000000,0.000000,0.345232,-0.484801,-2.343845,0.197164,-0.334503,-0.346046,0.000000,1.851055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.241208,sequential_ik_elbow_then_wrist,1,0,-0.091081,0.209201,-0.194779,-0.306831,0.283199,-0.389655,-0.079434,-0.268918,-0.106647,0.034816,-0.132564,0.134920,0.000159,0.024799,0.010662,0.157428,0.000683,0.006301,0.018967,0.079103,0.000000,0.000000,0.000000,0.372086,-0.537296,-2.534922,0.189441,-0.339389,-0.350694,0.000000,2.012349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.288070,sequential_ik_elbow_then_wrist,1,0,-0.078646,0.208722,-0.200624,-0.284865,0.291796,-0.402050,-0.139181,-0.246221,-0.100020,-0.069984,-0.111422,0.158903,0.000125,0.023881,0.009423,0.154524,0.000290,0.000208,0.012263,0.012979,0.000000,0.000000,0.000000,0.379195,-0.582711,-2.680141,0.187980,-0.371130,-0.349681,0.000000,2.119890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.323955,sequential_ik_elbow_then_wrist,1,0,-0.073629,0.209963,-0.201232,-0.271683,0.300523,-0.407565,-0.182438,-0.228908,-0.065705,-0.129451,-0.083344,0.191206,0.000053,0.023168,0.006218,0.152210,0.000615,0.003398,0.017176,0.057369,0.000000,0.000000,0.000000,0.375813,-0.618911,-2.790507,0.188928,-0.431474,-0.325885,0.000000,2.176868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.369541,sequential_ik_elbow_then_wrist,0,0,-0.085525,0.210636,-0.195750,-0.300610,0.288895,-0.389693,-0.140581,-0.253661,-0.076767,-0.117369,-0.106593,0.183679,0.000011,0.032855,0.002514,0.181260,0.000148,0.002217,0.008463,0.046982,0.000000,0.000000,0.000000,0.376103,-0.642235,-2.874385,0.188467,-0.456368,-0.309388,0.000000,2.212852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778447980.433705,sequential_ik_elbow_then_wrist,0,0,-0.103713,0.210478,-0.186930,-0.350672,0.246236,-0.353461,-0.114798,-0.258606,-0.099722,-0.055415,-0.113410,0.155996,0.000102,0.054918,0.008203,0.234345,0.000222,0.000188,0.010332,0.009473,0.000000,0.000000,0.000000,0.387920,-0.652033,-2.938133,0.189586,-0.454495,-0.312048,0.000000,2.264031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
